title,author,year,empirical_data,subsidy_type,vector_type,vector,biotic_abiotic,recipient,subgroups,ecotone,climate_zone,mediterannean,continent,country,latlon,experimental,start,end,initials,,,,,,,,,,,,
Organic matter loading by hippopotami causes subsidy overload resulting in downstream hypoxia and fish kills,Dutton et al.,2018,Yes,Hippopotamus egestion and excretion leading to hypoxia,Mammal,Hippopotamus,Biotic,Downstream rivers & fish (hypoxia),No,Terrestrial - Freshwater,Temperate subtropical,No,Africa,Kenya/Tanzania,"-1.60, 35.0",Yes,2009,2015,FL,,,,,,,,,,,,
"The influence of a semi-arid sub-catchment on suspended sediments in the Mara River, Kenya",Dutton et al.,2018,Yes,Sediments (in/organic terrestrially derived particles),Sediments,"Sediments from wildlife grazing, hippo pools, land conversion",Abiotic,River,No,Terrestrial - Freshwater,Temperate subtropical,No,Africa,Kenya/Tanzania,"-1.60, 35.0",Yes,2011,2014,FL,,,,,,,,,,,,
Advancing research on animal-transported subsidies by integrating animal movement and ecosystem modelling,Earl and Zollner,2017,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Effects of animal movement strategies and costs on the distribution of active subsidies across simple landscapes,Earl and Zollner,2014,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Nutritional constraints in terrestrial and freshwater food webs,Elser et al.,2000,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
"Organism Size, Life History, and N:P Stoichiometry: Toward a unified view of cellular and ecosystem processes",Elser et al.,1996,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Phosphorus and Nitrogen Limitation of Phytoplankton Growth in the Freshwaters of North America: A Review and Critique of Experimental Enrichments,Elser et al.,1990,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Recognizing cross-ecosystem responses to changing temperatures: soil warming impacts pelagic food webs,Fey et al.,2015,Yes*****,"Deciduous tree leaves (N, C, P)",Leaves,Red maple leaves,Biotic,Pelagic pond food web (mesocosm),No,Terrestrial - Freshwater,Humid continental (mesocosm),No,North America,United States,"43.7, -72.3",Yes*****,2003,2012,FL,,,,,,,,,,,,
"Recent shifts in the occurrence, cause, and magnitude of animal mass mortality events",Fey et al.,2015,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
"A Study of the Feeding Habits of the Hippopotamus (Hippopotamus Amphibius Linn.) in the Queen Elizabeth National Park, Uganda, With Some Management Implications",Field,1970,Yes*****,No relation to subsidies (hippo feeding behavior),,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Impacts of Climatic Change and Fishing on Pacific Salmon Abundance Over the Past 300 Years,Finney et al.,2000,Yes,Salmon carcasses (N),Fish,Sockeye salmon,Biotic,Lake sedimentary N,Yes,Marine - Freshwater,Oceanic,No,North America,United States,"57.4, -154",Yes,Unknown,Unknown,FL,,,,,,,,,,,,
